texto,sentimiento
Me encanta este producto,positivo
Este producto es terrible,negativo
La experiencia fue increible,positivo
No me gusta el servicio,negativo
Definitivamente lo recomendaria,positivo
El producto llega roto y no funciona,negativo
Excelente calidad, negativo
lo volveri�a a comprar,positivo
El peor servicio que he recibido,negativo
Estoy muy satisfecho con la compra,positivo
El color no es como lo esperaba,negativo
Un producto maravilloso supera mis expectativas,positivo
Completamente decepcionado con la compra,negativo
Me siento feliz con la compra,positivo
No vale la pena el precio,negativo
Me ha ayudado mucho en mi di�a a di�a,positivo
La experiencia fue muy frustrante,negativo
El paquete llega rapido y en perfecto estado,positivo
No lo recomiendo a nadie,negativo
Una de las mejores compras que he hecho,positivo
Me dieron un mal servicio al cliente,negativo
Perfecto para lo que necesitaba,positivo
Mejor de lo que esperaba,positivo
Este producto no vale lo que cuesta,negativo
La calidad es muy baja,negativo
Me encanta el dise�o,positivo
Una total perdida de dinero,negativo
Muy buen rendimiento 100% recomendado,positivo
El vendedor no respondia a mis dudas,negativo
Estoy realmente feliz con este producto,positivo
