Review,Stars,Sentiment
El producto es excelente me encanta,5,positivo
Mala calidad no lo recomiendo,1,negativo
Cumple con lo prometido buena compra,4,positivo
No me gusta esperaba algo mejor,2,negativo
Servicio al cliente muy amable satisfecho,5,positivo
No funciona bien se apaga solo,1,negativo
Entrega rapida y buen empaquetado,5,positivo
Demora demasiado en llegar,2,negativo
No es lo que esperaba la calidad es baja,2,negativo
Muy contento con la compra funciona perfecto,5,positivo
Regular ni bueno ni malo,3,neutral
Excelente calidad por el precio,5,positivo
Producto defectuoso tuve que devolverlo,1,negativo
Super recomendado volveria a comprar,5,positivo
No es tan bueno como en la descripcion,3,neutral
El producto es genial lo uso todos los días,5,positivo
No me convence la calidad no es la esperada,2,negativo
Muy buen empaque y el producto llegó en perfecto estado,5,positivo
El producto es decente pero no destaca en nada,3,neutral
El servicio al cliente fue pésimo no resolvieron mi problema,1,negativo
Increíble producto superó todas mis expectativas,5,positivo
No vale la pena se rompió al poco tiempo de uso,1,negativo
Buen producto pero la entrega tardó más de lo esperado,3,neutral
El producto es bueno pero las instrucciones no son claras,3,neutral
Muy satisfecho con la compra todo perfecto,5,positivo
No recomiendo este producto es de mala calidad,1,negativo
El producto es funcional pero el diseño podría mejorar,3,neutral
Excelente atención al cliente y producto de alta calidad,5,positivo
El producto no es lo que esperaba me siento decepcionado,2,negativo
Muy buen producto lo recomiendo ampliamente,5,positivo
La entrega fue rápida pero el producto tiene detalles,3,neutral
No volvería a comprar no cumplió con mis expectativas,2,negativo
El producto es excelente pero el precio es un poco alto,4,positivo
Muy mala experiencia el producto llegó defectuoso,1,negativo
El producto es bueno pero el servicio de entrega fue lento,3,neutral
